Date;Season;MatchWeek;HomeTeam;AwayTeam;FullTimeHomeTeamGoals;FullTimeAwayTeamGoals;FullTimeResult;HalfTimeHomeTeamGoals;HalfTimeAwayTeamGoals;HalfTimeResult;Referee;HomeTeamShots;AwayTeamShots;HomeTeamShotsOnTarget;AwayTeamShotsOnTarget;HomeTeamCorners;AwayTeamCorners;HomeTeamFouls;AwayTeamFouls;HomeTeamYellowCards;AwayTeamYellowCards;HomeTeamRedCards;AwayTeamRedCards;B365HomeTeam;B365Draw;B365AwayTeam;B365Over2.5Goals;B365Under2.5Goals;MarketMaxHomeTeam;MarketMaxDraw;MarketMaxAwayTeam;MarketAvgHomeTeam;MarketAvgDraw;MarketAvgAwayTeam;MarketMaxOver2.5Goals;MarketMaxUnder2.5Goals;MarketAvgOver2.5Goals;MarketAvgUnder2.5Goals;HomeTeamPoints;AwayTeamPoints
9/08/2019;2019-2020;1;Liverpool;Norwich;4;1;Home win;4;0;H;M Oliver;15;12;7;5;11;2;9;9;0;2;0;0;1.14;10;19;1.4;3;1.16;10;23;1.14;8.75;19.83;1.45;3.11;1.41;2.92;3;0
10/08/2019;2019-2020;1;West Ham;Man City;0;5;Away win;0;1;A;M Dean;5;14;3;9;1;1;6;13;2;2;0;0;12;6.5;1.22;1.44;2.75;13;6.75;1.29;11.84;6.28;1.25;1.51;2.77;1.48;2.65;0;3
10/08/2019;2019-2020;1;Bournemouth;Sheffield United;1;1;Draw;0;0;D;K Friend;13;8;3;3;3;4;10;19;2;1;0;0;1.95;3.6;3.6;1.9;1.9;2.06;3.65;4;2.01;3.53;3.83;2;1.99;1.9;1.93;1;1
10/08/2019;2019-2020;1;Burnley;Southampton;3;0;Home win;0;0;D;G Scott;10;11;4;3;2;7;6;12;0;0;0;0;2.62;3.2;2.75;2.1;1.72;2.8;3.33;2.85;2.68;3.22;2.78;2.2;1.78;2.12;1.73;3;0
10/08/2019;2019-2020;1;Crystal Palace;Everton;0;0;Draw;0;0;D;J Moss;6;10;2;3;6;2;16;14;2;1;0;1;3;3.25;2.37;2.2;1.66;3.21;3.4;2.52;3.13;3.27;2.4;2.25;1.74;2.18;1.7;1;1
10/08/2019;2019-2020;1;Watford;Brighton;0;3;Away win;0;1;A;C Pawson;11;5;3;3;5;2;15;11;0;1;0;0;1.9;3.4;4;2.1;1.72;2;3.5;4.6;1.94;3.41;4.26;2.24;1.76;2.16;1.71;0;3
10/08/2019;2019-2020;1;Tottenham;Aston Villa;3;1;Home win;0;1;A;C Kavanagh;31;7;7;4;14;0;13;9;1;0;0;0;1.3;5.25;10;1.66;2.2;1.33;5.95;12;1.3;5.53;10.51;1.7;2.4;1.65;2.26;3;0
11/08/2019;2019-2020;1;Leicester;Wolves;0;0;Draw;0;0;D;A Marriner;15;8;1;2;12;3;3;13;0;2;0;0;2.2;3.2;3.4;2.2;1.66;2.29;3.38;3.66;2.22;3.28;3.48;2.25;1.74;2.17;1.7;1;1
11/08/2019;2019-2020;1;Newcastle;Arsenal;0;1;Away win;0;0;D;M Atkinson;9;8;2;2;5;3;12;7;1;3;0;0;4.5;3.75;1.72;1.8;2;4.7;4;1.83;4.49;3.82;1.79;1.83;2.14;1.77;2.07;0;3
11/08/2019;2019-2020;1;Man United;Chelsea;4;0;Home win;1;0;H;A Taylor;11;18;5;7;3;5;15;13;3;4;0;0;2.1;3.3;3.5;2;1.8;2.28;3.43;3.63;2.19;3.32;3.49;2.1;1.87;2.01;1.83;3;0
17/08/2019;2019-2020;2;Arsenal;Burnley;2;1;Home win;1;1;D;M Dean;16;18;9;5;10;7;13;11;2;1;0;0;1.3;5.5;10;1.57;2.37;1.36;5.75;11;1.33;5.49;9.48;1.65;2.47;1.6;2.34;3;0
